MatchStatus,RISKDATE ,COMMENT,QUANTITYDIFFERENCE,TRADEID,DESKNAME,RECONDATE,BUY_SELL,TRADE_DATE,SETTLE DATE,INVENTORY,PRICE,CUSIP,QUANTITY,ORIGINAL_FACE,PRICE_TOLERANCE,QUANTITY_TOLERANCE,PRICEDIFFERENCE,ORIGINALFACEDIFFERENCE,TRADING_UNIT_NAME,Catalyst ACTION,Catalyst ACTIONSUBTYPE,Catalyst BUYSELL,Catalyst_CUSIP,Catalyst_ENTRYDATETIME,Catalyst_ETID,Catalyst_EXECUTIONTIME ,Catalyst_id,Catalyst_INVENTORY,Catalyst_ORIGINALFACE,Catalyst_PRICE,Catalyst_PRICE_TOLERANCE,Catalyst_PRINICIPAL,Catalyst_QUANTITY,Catalyst_QUANTITY_TOLERANCE,Catalyst_RECONDATE,Catalyst_SETTLEDATE,Catalyst_TRADEDATE,Catalyst_TRADEID,Impact_BLOTTER_CODE,Impact_BUSINESS_DT,Impact_BUYSELL,Impact_CRNT_POOL_FCTR_RT,Impact_CUSIP,Impact_INVENTORY,Impact_ORIGINALFACE,Impact_PRICE,Impact_PRICE_TOLERANCE,Impact_QUANTITY,Impact_QUANTITY_TOLERANCE,Impact_RECONDATE,Impact_SETTLEDATE,Impact_TRADEDATE,Impact_TRADEID
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test01,RMBS - Agency CMOS,03-05-2025,B,03-03-2025,03-06-2025,CM10,20.191,test001,119966816,339309261,0.001,1,0,0,RMBS,SUBMITALLOC,ALLOCATING,B,test0001,03-03-2025,test00001,03-03-2025,test1,CM10,339309261,20.1914,0.001,24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test01,6P,03-03-2025,B,0.353,custest001,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test01
Price_Break,03-04-2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""}]",0,test02,Treasury,03-05-2025,B,03-04-2025,03-05-2025,A480,98.851,test002,100,100,0.001,1,0.0012,0,Liquid Products-Treasuries ,NEW,ALLOCATING,B,test0002,03-04-2025,test00002,03-04-2025,test2,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,03-04-2025,test02,6N,03-04-2025,B,1,custest002,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-04-2025,test02
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test03,RMBS - Agency ,03-05-2025,S,03-03-2025,03-06-2025,CM10,20.191,test003,119966816,339309261,0.001,1,0,0,RMBS,NEW,MATCH,B,test0003,03-03-2025,test00003,03-03-2025,test3,CM10,339309261,20.1914,"0,001",24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test03,6P,03-03-2025,S,0.353,custest003,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test03
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test04,RMBS - Agency CMOs,03-05-2025,B,03-03-2025,03-06-2025,TQ40,20.191,test004,119966816,339309261,0.001,1,0.0012,0,Liquid Products-Treasuries,SUBMITALLOC,ALLOCATING,B,test0004,03-04-2025,test00004,03-04-2025,test4,TQ40,339309261,20.1914,0.001,24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test04,6P,03-03-2025,B,0.353,custest004,TQ40,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test04
Price Break,03-04-2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""}]",0,test05,Treasury,03-05-2025,B,03-04-2025,03-05-2025,A480,98.851,test005,100,100,0.001,1,98.125,1909612,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,test0005,03-06-2025,test00005,03-06-2025,test5,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,03-04-2025,test05,6N,03-04-2025,B,1,custest005,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-04-2025,test05
Catalyst_Only,03-06-2025,,1909612,test06,High Yield - Industry De,03-05-2025,B,03-06-2025,03-07-2025,H210,98.125,test006,1909612,1909612,0.001,1,-100.086,-71000000,Liquid Products - Agencies,,,,test0006,01-01-1900,test00006,01-01-1900,test6,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,03-06-2025,test06,,01-01-1900,,0,custest006,,0,0,0,0,0,01-01-1900,01-01-1900,01-01-1900,test06
Impact_Only,03-05-2025,"[{""blotter code updated directly in impact causing a false break, due to an additional line item for cxl/correct only in impact. systems are in sync and no action is needed.""}]",-71000000,test07,Agency,03-05-2025,S,2/26/2025,03-05-2025,UV70,100.09,test007,71000000,71000000,0.001,1,-100.31,-34000,High Grade Trading,,,,test0007,01-01-1900,test00007,01-01-1900,test7,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test07,65,03-06-2025,S,1,custest007,UV70,71000000,100.086,0.001,71000000,1,03-06-2025,03-05-2025,2/26/2025,test07
Impact_Only,03-06-2025,,-34000,test08,High Grade - Industry Desks,03-05-2025,B,12-03-2024,12-04-2024,2F10,100.31,test008,34000,34000,0.001,1,-100.17,-16000,High Grade Trading,,,,test0008,01-01-1900,test00008,01-01-1900,test8,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test08,6A,03-06-2025,B,1,custest008,2F10,34000,100.31,0.001,34000,1,03-06-2025,12-04-2024,12-03-2024,test08
Impact_Only,03-05-2025,"[{""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in Impact, all systems in line, Break to drop off from report at 7 days Age""}]",-16000,test09,High Grade - Industry desks,03-05-2025,B,12-10-2024,12-11-2024,2F10,100.17,test009,16000,16000,0.001,1,-100.17,-10000,High Grade Trading,,,,test0009,01-01-1900,test00009,01-01-1900,test9,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test09,6P,03-06-2025,B,1,custest009,2F10,16000,100.17,0.001,16000,1,03-06-2025,12-11-2024,12-10-2024,test09
Impact_Only,03-05-2025,"[{""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in Impact, all systems in line, Break to drop off from report at 7 days Age""}]",-10000,test10,High Grade - Industry desks,03-05-2025,B,11/27/2024,11/29/2024 ,2F10,100.17,test010,10000,10000,"0,001",1,-100.17,-10000,High Grade Trading,,,,test0010,01-01-1900,test00010,01-01-1900,test10,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test10,6P,03-06-2025,B,1,custest010,2F10,10000,100.17,0.001,10000,1,03-06-2025,11/29/2024,11/27/2024,test10
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test11,RMBS - Agency ,03-05-2025,S,03-03-2025,03-06-2025,CM10,20.191,test011,119966816,339309261,0.001,1,0,0,RMBS,NEW,MATCH,B,test0011,03-03-2025,test00003,03-03-2025,test11,CM10,339309261,20.1914,"0,001",24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test11,6P,03-03-2025,S,0.353,custest003,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test11
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test12,RMBS - Agency CMOs,03-05-2025,B,03-03-2025,03-06-2025,TQ40,20.191,test012,119966816,339309261,0.001,1,0.0012,0,Liquid Products-Treasuries,SUBMITALLOC,ALLOCATING,B,test0012,03-04-2025,test00004,03-04-2025,test12,TQ40,339309261,20.1914,0.001,24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test12,6P,03-03-2025,B,0.353,custest004,TQ40,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test12
Impact_Only,03-05-2025,"[{""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in Impact, all systems in line, Break to drop off from report at 7 days Age""}]",-19000,test13,High Grade - Industry desks,03-05-2025,B,12-10-2024,12-11-2024,2F10,100.17,test013,16000,16000,0.001,1,-100.17,-10000,High Grade Trading,,,,test0013,01-01-1900,test00005,01-01-1900,test13,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test13,6P,03-06-2025,B,1,custest005,2F10,16000,100.17,0.001,16000,1,03-06-2025,12-11-2024,12-10-2024,test13
Impact_Only,03-05-2025,"[{""Interest update on account of periodic VAR updates ONLY in backend, FIMO updated interest back to original in Impact, all systems in line, Break to drop off from report at 7 days Age""}]",-20000,test14,High Grade - Industry desks,03-05-2025,B,11/27/2024,11/29/2024 ,2F10,100.17,test014,10000,10000,"0,001",1,-100.17,-10000,High Grade Trading,,,,test0014,01-01-1900,test00006,01-01-1900,test14,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test14,6P,03-06-2025,B,1,custest006,2F10,10000,100.17,0.001,10000,1,03-06-2025,11/29/2024,11/27/2024,test14
Quantity_Break,03-03-2025,"[{""Factor rounding is causing minor delta in qty., OF is same and systems are in line\n""}]",3,test15,RMBS - Agency CMOS,03-05-2025,B,03-03-2025,03-06-2025,CM10,20.191,test015,119966816,339309261,0.001,1,0,0,RMBS,SUBMITALLOC,ALLOCATING,B,test0015,03-03-2025,test00007,03-03-2025,test15,CM10,339309261,20.1914,0.001,24222987.27,119966816,1,03-06-2025,03-06-2025,03-03-2025,test15,6P,03-03-2025,B,0.353,custest007,CM10,339309261,20.1914,0.001,119966813,1,03-06-2025,03-06-2025,03-03-2025,test15
Price_Break,03-04-2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""}]",0,test16,Treasury,03-05-2025,B,03-04-2025,03-05-2025,A480,98.851,test016,100,100,0.001,1,0.0012,0,Liquid Products-Treasuries ,NEW,ALLOCATING,B,test0016,03-04-2025,test00008,03-04-2025,test16,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,03-04-2025,test16,6N,03-04-2025,B,1,custest008,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-04-2025,test16
Price Break,03-04-2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""}]",0,test17,Treasury,03-05-2025,B,03-04-2025,03-05-2025,A480,98.851,test017,100,100,0.001,1,98.125,1909612,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,test0017,03-06-2025,test00009,03-06-2025,test17,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,03-04-2025,test17,6N,03-04-2025,B,1,custest009,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-04-2025,test17
Impact_Only,03-05-2025,"[{""blotter code updated directly in impact causing a false break, due to an additional line item for cxl/correct only in impact. systems are in sync and no action is needed.""}]",-81000000,test18,Agency,03-05-2025,S,2/26/2025,03-05-2025,UV70,100.09,test018,71000000,71000000,0.001,1,-100.31,-34000,High Grade Trading,,,,test0018,01-01-1900,test00010,01-01-1900,test18,,0,0,0,,0,0,01-01-1900,01-01-1900,01-01-1900,test18,65,03-06-2025,S,1,custest010,UV70,71000000,100.086,0.001,71000000,1,03-06-2025,03-05-2025,2/26/2025,test18
Price Break,03-04-2025,"[{""price break driven by rounding becuase quantity is less than 1,000. total money still matches between all systems.""}]",0,test19,Treasury,03-05-2025,B,03-04-2025,03-05-2025,A480,98.851,test019,100,100,0.001,1,98.125,1909612,High Yield Trading,TRADEUPDATE,RESEND_TO_EXT_SYS,B,test0019,03-06-2025,test00011,03-06-2025,test19,A480,100,98.8512,0.001,98.85,100,1,03-06-2025,03-05-2025,03-04-2025,test19,6N,03-04-2025,B,1,custest011,A480,100,98.85,0.001,100,1,03-06-2025,03-05-2025,03-04-2025,test19
Catalyst_Only,03-06-2025,,2909612,test20,High Yield - Industry De,03-05-2025,B,03-06-2025,03-07-2025,H210,98.125,test020,1909612,1909612,0.001,1,-100.086,-71000000,Liquid Products - Agencies,,,,test0020,01-01-1900,test00012,01-01-1900,test20,H210,1909612,98.125,0.001,1873806.78,1909612,1,03-06-2025,03-07-2025,03-06-2025,test20,,01-01-1900,,0,custest012,,0,0,0,0,0,01-01-1900,01-01-1900,01-01-1900,test20
